x n1 n4 n25 cauchy
-2.33 0.0264264854973 1.53623422345e-05 6.73152805435e-30 0.0495123405534
-2.32 0.0270480995469 1.68595827665e-05 1.20378056592e-29 0.0498730706605
-2.31 0.0276815671483 1.849534734e-05 2.14731253397e-29 0.0502375098537
-2.3 0.0283270377416 2.0281704131e-05 3.82082770579e-29 0.0506057052756
-2.29 0.0289846606162 2.22317001564e-05 6.78162721967e-29 0.0509777047427
-2.28 0.0296545848473 2.43594339405e-05 1.2006727e-28 0.051353556754
-2.27 0.0303369592305 2.66801329807e-05 2.12045774549e-28 0.0517333105014
-2.26 0.031031932215 2.92102362783e-05 3.73550113794e-28 0.0521170158792
-2.25 0.0317396518357 3.19674822138e-05 6.56420880308e-28 0.0525047234942
-2.24 0.0324602656437 3.49710020533e-05 1.15061535442e-27 0.0528964846756
-2.23 0.0331939206359 3.82414193856e-05 2.01183429414e-27 0.0532923514848
-2.22 0.0339407631824 4.18009558009e-05 3.50887997133e-27 0.0536923767262
-2.21 0.0347009389539 4.56735431303e-05 6.10462627864e-27 0.0540966139569
-2.2 0.0354745928462 4.98849425801e-05 1.05940962675e-26 0.0545051174972
-2.19 0.0362618689049 5.4462871102e-05 1.83393108552e-26 0.0549179424413
-2.18 0.0370629102478 5.94371353529e-05 3.16676891092e-26 0.0553351446672
-2.17 0.0378778589867 6.48397736084e-05 5.45461367852e-26 0.0557567808481
-2.16 0.0387068561475 7.07052060035e-05 9.37186201171e-26 0.0561829084623
-2.15 0.0395500415894 7.70703934842e-05 1.60620893581e-25 0.0566135858041
-2.14 0.0404075539229 8.39750058632e-05 2.74594891591e-25 0.0570488719951
-2.13 0.0412795304263 9.14615993832e-05 4.68270860414e-25 0.0574888269941
-2.12 0.0421661069618 9.9575804196e-05 7.9655556635e-25 0.0579335116089
-2.11 0.0430674178893 0.000108366522179 1.35160342662e-24 0.0583829875064
-2.1 0.0439835959804 0.000117886135513 2.28768779526e-24 0.0588373172244
-2.09 0.0449147723308 0.000128190726454 3.86241104326e-24 0.0592965641817
-2.08 0.0458610762711 0.000139340308738 6.50480809962e-24 0.05976079269
-2.07 0.0468226352777 0.00015139907106 1.092759904e-23 0.0602300679642
-2.06 0.0477995748821 0.000164435633073 1.83117258428e-23 0.0607044561339
-2.05 0.0487920185792 0.000178523314354 3.06089243262e-23 0.0611840242545
-2.04 0.0498000877351 0.000193740416797 5.10365279715e-23 0.0616688403177
-2.03 0.0508239014937 0.000210170520861 8.48845086721e-23 0.0621589732633
-2.02 0.0518635766828 0.000227902796138 1.40828327214e-22 0.0626544929895
-2.01 0.0529192277192 0.000247032326682 2.33058993169e-22 0.0631554703644
-2 0.0539909665132 0.00026766045153 3.84729931335e-22 0.0636619772368
-1.99 0.0550789023721 0.000289895120848 6.33520026091e-22 0.0641740864466
-1.98 0.0561831419039 0.000313851268131 1.0405884101e-21 0.0646918718364
-1.97 0.0573037889191 0.000339651198859 1.70495093314e-21 0.0652154082615
-1.96 0.0584409443335 0.000367424996005 2.78650001136e-21 0.0657447716011
-1.95 0.0595947060688 0.000397310942786 4.54276715599e-21 0.0662800387681
-1.94 0.0607651689546 0.000429455963001 7.38747746352e-21 0.0668212877202
-1.93 0.0619524246281 0.000464016079314 1.19835674493e-20 0.0673685974695
-1.92 0.0631565614352 0.000501156889782 1.93905596587e-20 0.0679220480932
-1.91 0.06437766433 0.000541054062923 3.12974408463e-20 0.0684817207426
-1.9 0.0656158147747 0.000583893851583 5.03896769715e-20 0.0690476976538
-1.89 0.0668710906393 0.000629873625815 8.09260951081e-20 0.0696200621561
-1.88 0.068143566101 0.000679202424967 1.29643235055e-19 0.070198898682
-1.87 0.0694333115437 0.000732101529115 2.07169299735e-19 0.0707842927759
-1.86 0.070740393457 0.000788805049938 3.30228993037e-19 0.0713763311023
-1.85 0.0720648743362 0.000849560541102 5.25072491499e-19 0.0719751014548
-1.84 0.0734068125817 0.00091462962812 8.3279401619e-19 0.0725806927635
-1.83 0.0747662623984 0.000984288657666 1.31755935694e-18 0.0731931951031
-1.82 0.0761432736962 0.00105882936619 2.07929948956e-18 0.0738126996994
-1.81 0.0775378919901 0.00113855956767 3.27324239951e-18 0.0744392989368
-1.8 0.0789501583009 0.00122380386023 5.13988678583e-18 0.0750730863641
