n independent dependent
679 0.0383764778227 0.318316632687
680 0.0383482494424 0.318313570888
681 0.038320083262 0.318310518053
682 0.0382919790534 0.318307474141
683 0.0382639365897 0.318304439113
684 0.0382359556451 0.318301412931
685 0.038208035995 0.318298395555
686 0.0381801774161 0.318295386949
687 0.0381523796858 0.318292387072
688 0.0381246425832 0.318289395888
689 0.038096965888 0.318286413359
690 0.0380693493813 0.318283439447
691 0.0380417928454 0.318280474115
692 0.0380142960635 0.318277517325
693 0.0379868588199 0.318274569042
694 0.0379594809001 0.318271629228
695 0.0379321620905 0.318268697846
696 0.0379049021789 0.318265774862
697 0.0378777009539 0.318262860238
698 0.0378505582052 0.318259953938
699 0.0378234737236 0.318257055928
700 0.0377964473009 0.318254166172
701 0.03776947873 0.318251284634
702 0.0377425678048 0.31824841128
703 0.0377157143202 0.318245546074
704 0.0376889180722 0.318242688983
705 0.0376621788577 0.318239839971
706 0.0376354964747 0.318236999005
707 0.0376088707222 0.31823416605
708 0.0375823014001 0.318231341072
709 0.0375557883094 0.318228524039
710 0.037529331252 0.318225714916
711 0.0375029300309 0.31822291367
712 0.0374765844498 0.318220120269
713 0.0374502943137 0.318217334678
714 0.0374240594283 0.318214556866
715 0.0373978796003 0.3182117868
716 0.0373717546376 0.318209024448
717 0.0373456843487 0.318206269777
718 0.0373196685431 0.318203522756
719 0.0372937070314 0.318200783352
720 0.037267799625 0.318198051534
721 0.0372419461362 0.318195327271
722 0.0372161463782 0.31819261053
723 0.0371904001653 0.318189901282
724 0.0371647073124 0.318187199495
725 0.0371390676354 0.318184505139
726 0.0371134809513 0.318181818182
727 0.0370879470776 0.318179138594
728 0.0370624658331 0.318176466346
729 0.037037037037 0.318173801406
730 0.0370116605099 0.318171143746
731 0.0369863360728 0.318168493334
732 0.0369610635477 0.318165850142
733 0.0369358427577 0.31816321414
734 0.0369106735263 0.3181605853
735 0.0368855556782 0.31815796359
736 0.0368604890387 0.318155348984
737 0.0368354734342 0.318152741451
738 0.0368105086916 0.318150140964
739 0.0367855946389 0.318147547493
740 0.0367607311047 0.31814496101
741 0.0367359179185 0.318142381488
742 0.0367111549107 0.318139808898
743 0.0366864419124 0.318137243211
744 0.0366617787553 0.318134684402
745 0.0366371652724 0.318132132441
746 0.0366126012969 0.318129587301
747 0.0365880866632 0.318127048955
748 0.0365636212064 0.318124517377
749 0.0365392047621 0.318121992538
750 0.036514837167 0.318119474412
751 0.0364905182584 0.318116962972
752 0.0364662478745 0.318114458192
753 0.036442025854 0.318111960045
754 0.0364178520365 0.318109468505
755 0.0363937262623 0.318106983545
756 0.0363696483727 0.31810450514
757 0.0363456182092 0.318102033264
758 0.0363216356146 0.318099567891
759 0.036297700432 0.318097108995
760 0.0362738125055 0.318094656551
761 0.0362499716797 0.318092210534
762 0.0362261778001 0.318089770917
763 0.0362024307128 0.318087337677
764 0.0361787302646 0.318084910788
765 0.0361550763031 0.318082490226
766 0.0361314686765 0.318080075965
767 0.0361079072337 0.318077667981
768 0.0360843918244 0.31807526625
769 0.0360609222987 0.318072870747
770 0.0360374985078 0.318070481448
771 0.0360141203033 0.31806809833
772 0.0359907875374 0.318065721367
773 0.0359675000633 0.318063350537
774 0.0359442577345 0.318060985815
775 0.0359210604054 0.318058627178
776 0.0358979079309 0.318056274603
777 0.0358748001667 0.318053928066
778 0.0358517369691 0.318051587544
779 0.035828718195 0.318049253014
780 0.035805743702 0.318046924453
781 0.0357828133482 0.318044601838
782 0.0357599269926 0.318042285146
783 0.0357370844946 0.318039974354
784 0.0357142857143 0.318037669441
785 0.0356915305124 0.318035370384
786 0.0356688187503 0.31803307716
787 0.03564615029 0.318030789748
788 0.035623524994 0.318028508124
789 0.0356009427254 0.318026232268
790 0.0355784033482 0.318023962157
791 0.0355559067267 0.318021697771
792 0.0355334527259 0.318019439086
793 0.0355110412114 0.318017186081
794 0.0354886720494 0.318014938736
795 0.0354663451066 0.318012697029
796 0.0354440602504 0.318010460939
797 0.0354218173488 0.318008230444
798 0.0353996162702 0.318006005523
799 0.0353774568839 0.318003786157
800 0.0353553390593 0.318001572323
801 0.0353332626669 0.317999364002
802 0.0353112275773 0.317997161172
803 0.035289233662 0.317994963814
804 0.0352672807929 0.317992771907
805 0.0352453688425 0.31799058543
806 0.0352234976838 0.317988404364
807 0.0352016671904 0.317986228689
808 0.0351798772365 0.317984058384
809 0.0351581276967 0.317981893429
810 0.0351364184463 0.317979733806
811 0.035114749361 0.317977579493
812 0.0350931203172 0.317975430473
813 0.0350715311916 0.317973286724
814 0.0350499818616 0.317971148228
815 0.0350284722052 0.317969014966
816 0.0350070021007 0.317966886918
817 0.0349855714271 0.317964764066
818 0.0349641800638 0.317962646389
819 0.0349428278907 0.31796053387
820 0.0349215147885 0.317958426489
821 0.034900240638 0.317956324229
822 0.0348790053208 0.317954227069
823 0.0348578087188 0.317952134992
824 0.0348366507146 0.317950047979
825 0.0348155311911 0.317947966012
826 0.034794450032 0.317945889072
827 0.034773407121 0.317943817142
828 0.0347524023428 0.317941750202
829 0.0347314355824 0.317939688236
830 0.034710506725 0.317937631226
831 0.0346896156568 0.317935579152
832 0.0346687622641 0.317933531999
833 0.0346479464338 0.317931489747
834 0.0346271680532 0.31792945238
