z exact normal
2.26 0.0351600441713 0.031031932215
2.28 0.0338276852682 0.0296545848473
2.3 0.0325372694384 0.0283270377416
2.32 0.0312878881077 0.0270480995469
2.34 0.0300786325635 0.0258165754716
2.36 0.0289085951153 0.0246312693064
2.38 0.0277768702002 0.0234909853582
2.4 0.0266825554328 0.0223945302948
2.42 0.0256247526016 0.0213407148999
2.44 0.0246025686119 0.0203283557382
2.46 0.0236151163758 0.0193562767317
2.48 0.0226615156512 0.0184233106469
2.5 0.0217408938288 0.0175283004936
2.52 0.0208523866712 0.0166701008374
2.54 0.0199951390014 0.0158475790254
2.56 0.0191683053457 0.0150596163274
2.58 0.0183710505284 0.0143051089941
2.6 0.0176025502233 0.0135829692337
2.62 0.0168619914595 0.0128921261079
2.64 0.0161485730861 0.0122315263513
2.66 0.0154615061949 0.0116001351137
2.68 0.0148000145031 0.0109969366294
2.7 0.0141633346979 0.0104209348144
2.72 0.0135507167431 0.00987115379475
2.74 0.0129614241508 0.00934663836761
2.76 0.0123947342178 0.00884645439824
2.78 0.0118499382287 0.00836968915465
2.8 0.0113263416285 0.00791545158298
2.82 0.010823264163 0.00748287252578
2.84 0.0103400399916 0.00707110488602
2.86 0.00987601777154 0.0066793237392
2.88 0.00943056071608 0.00630672639627
2.9 0.00900304662738 0.00595253241978
2.92 0.00859286790574 0.00561598359599
2.94 0.0081994315362 0.00529634386531
2.96 0.0078221590539 0.00499289921361
2.98 0.00746048648928 0.00470495752693
3 0.00711386429447 0.00443184841194
3.02 0.00678175725194 0.00417292298452
3.04 0.00646364436661 0.00392755362892
3.06 0.0061590187424 0.00369513372956
3.08 0.0058673874445 0.00347507737785
3.1 0.00558827134825 0.0032668190562
3.12 0.00532120497565 0.0030698133011
3.14 0.00506573632066 0.0028835343476
3.16 0.00482142666392 0.00270747575684
3.18 0.00458785037815 0.00254115002873
3.2 0.0043645947249 0.00238408820146
3.22 0.0041512596435 0.00223583943969
3.24 0.00394745753319 0.00209597061286
3.26 0.00375281302897 0.0019640658655
3.28 0.00356696277218 0.00183972618082
3.3 0.00338955517631 0.00172256893905
3.32 0.0032202501888 0.00161222747198
3.34 0.00305871904957 0.00150835061485
3.36 0.00290464404674 0.00141060225694
3.38 0.00275771827021 0.00131866089182
3.4 0.0026176453637 0.00123221916847
3.42 0.0024841392757 0.00115098344418
3.44 0.00235692400981 0.00107467334015
3.46 0.00223573337504 0.00100302130073
3.48 0.00212031073646 0.000935772156927
3.5 0.00201040876649 0.000872682695046
3.52 0.00190578919747 0.000813521231082
3.54 0.00180622257566 0.000758067191429
3.56 0.00171148801704 0.000706110700488
3.58 0.00162137296527 0.000657452175655
3.6 0.00153567295214 0.000611901930114
3.62 0.00145419136061 0.000569279783834
3.64 0.00137673919086 0.000529414683095
3.66 0.00130313482942 0.000492144328833
3.68 0.00123320382173 0.00045731481406
3.7 0.00116677864819 0.000424780270551
3.72 0.00110369850393 0.000394402524969
3.74 0.00104380908236 0.000366050764557
3.76 0.000986962362829 0.000339601212484
3.78 0.000933016402202 0.000314936812908
3.8 0.00088183513075 0.000291946925791
3.82 0.00083328815224 0.000270527031462
3.84 0.000787250548379 0.000250578444891
3.86 0.000743602687643 0.000232008039657
3.88 0.000702230038544 0.0002147279815
3.9 0.000663022987361 0.000198655471393
3.92 0.000625876660364 0.000183712498002
3.94 0.000590690750529 0.000169825599429
3.96 0.000557369348767 0.000156925634066
3.98 0.000525820779637 0.000144947560424
4 0.000495957441544 0.000133830225765
4.02 0.000467695651392 0.000123516163341
4.04 0.000440955493666 0.000113951398069
4.06 0.000415660673898 0.00010508526043
4.08 0.000391738376487 9.68702083987e-05
4.1 0.000369119126809 8.92616571771e-05
4.12 0.000347736657587 8.22178165363e-05
4.14 0.000327527779431 7.56995355302e-05
4.16 0.000308432255514 6.96701543692e-05
4.18 0.00029039268031 6.40953632271e-05
4.2 0.000273354362309 5.89430677565e-05
4.22 0.000257265210668 5.41832610895e-05
4.24 0.000242075625691 4.9787902098e-05
4.26 0.000227738393081 4.57307996916e-05
4.28 0.000214208581883 4.19875029316e-05
4.3 0.000201443446027 3.85351967421e-05
4.32 0.000189402329399 3.53526030018e-05
4.34 0.000178046574359 3.24198868042e-05
4.36 0.000167339433608 2.97185676764e-05
4.38 0.000157245985335 2.7231435551e-05
4.4 0.000147733051553 2.49424712901e-05
4.42 0.00013876911954 2.28367715651e-05
4.44 0.000130324266291 2.09004779005e-05
4.46 0.000122370085919 1.91207096928e-05
4.48 0.000114879619896 1.74855010266e-05
4.5 0.000107827290064 1.59837411069e-05
4.52 0.00010118883433 1.46051181392e-05
4.54 9.49412449661e-05 1.33400664904e-05
4.56 8.90627094232e-05 1.21797169703e-05
4.58 8.35325535926e-05 1.11158500782e-05
4.6 7.83311874236e-05 1.01408520655e-05
4.62 7.34400528271e-05 9.24767367001e-06
4.64 6.88415737853e-05 8.42979138323e-06
4.66 6.45191085932e-05 7.68117111725e-06
4.68 6.0456904158e-05 6.99623414327e-06
4.7 5.6640052284e-05 6.36982517887e-06
4.72 5.30544478722e-05 5.79718250636e-06
4.74 4.9686748966e-05 5.2739100096e-06
4.76 4.65243385739e-05 4.79595102155e-06
4.78 4.35552882047e-05 4.35956387967e-06
4.8 4.07683230502e-05 3.96129909103e-06
4.82 3.81527887521e-05 3.59797801352e-06
4.84 3.5698619693e-05 3.26667296399e-06
4.86 3.33963087519e-05 2.96468866855e-06
4.88 3.1236878465e-05 2.68954497427e-06
4.9 2.9211853538e-05 2.43896074589e-06
4.92 2.7313234654e-05 2.21083887457e-06
4.94 2.55334735239e-05 2.00325232995e-06
4.96 2.38654491297e-05 1.81443119018e-06
4.98 2.23024451093e-05 1.64275058805e-06
5 2.08381282358e-05 1.48671951473e-06
