x n1 n4 n25
10.4 0.0249860424397 0.0187059007636 3.21389380454e-05
10.44 0.0247869515257 0.0183266329052 2.88525665137e-05
10.48 0.024589446985 0.0179542641024 2.58931191658e-05
10.52 0.0243935161773 0.017588692543 2.32291033242e-05
10.56 0.024199146563 0.0172298171699 2.08319454901e-05
10.6 0.0240063257023 0.016877537703 1.86757333166e-05
10.64 0.0238150412546 0.0165317546601 1.67369790302e-05
10.68 0.0236252809778 0.0161923693759 1.49944026602e-05
10.72 0.0234370327269 0.0158592840199 1.34287335515e-05
10.76 0.0232502844542 0.0155324016135 1.20225287355e-05
10.8 0.0230650242076 0.0152116260453 1.07600068336e-05
10.84 0.0228812401304 0.0148968620862 9.62689626178e-06
10.88 0.0226989204604 0.0145880154025 8.61029658975e-06
10.92 0.0225180535291 0.0142849925684 7.69855199291e-06
10.96 0.0223386277609 0.0139877010776 6.88113581137e-06
11 0.0221606316725 0.0136960493535 6.14854530376e-06
11.04 0.021984053872 0.0134099467591 5.4922057516e-06
11.08 0.0218088830586 0.0131293036051 4.90438313374e-06
11.12 0.021635108021 0.0128540311583 4.37810465008e-06
11.16 0.0214627176378 0.0125840416481 3.90708642969e-06
11.2 0.0212917008759 0.0123192482725 3.4856678099e-06
11.24 0.02112204679 0.0120595652038 3.10875162197e-06
11.28 0.0209537445224 0.0118049075928 2.77174996317e-06
11.32 0.0207867833015 0.011555191573 2.47053497759e-06
11.36 0.0206211524419 0.0113103342635 2.20139420621e-06
11.4 0.0204568413431 0.0110702537713 1.96099010306e-06
11.44 0.0202938394891 0.0108348691938 1.74632334745e-06
11.48 0.0201321364478 0.0106041006191 1.55469961307e-06
11.52 0.0199717218701 0.0103778691276 1.3836994831e-06
11.56 0.0198125854893 0.0101560967911 1.23115122701e-06
11.6 0.0196547171209 0.00993870667311 1.09510617868e-06
11.64 0.019498106661 0.00972562282745 9.73816478021e-07
11.68 0.0193427440866 0.00951677029672 8.65714958617e-07
11.72 0.0191886194544 0.00931207511047 7.69396983143e-07
11.76 0.0190357229005 0.00911146428267 6.83604045377e-07
11.8 0.0188840446393 0.00891486580884 6.07208973829e-07
11.84 0.0187335749634 0.00872220866278 5.39202586564e-07
11.88 0.0185843042426 0.00853342279286 4.78681660261e-07
11.92 0.0184362229237 0.00834843911797 4.24838088873e-07
11.96 0.0182893215294 0.00816718952306 3.76949118529e-07
12 0.0181435906579 0.0079896068544 3.34368555635e-07
12.04 0.0179990209824 0.00781562491446 2.96518854556e-07
12.08 0.0178556032503 0.00764517845654 2.62883999896e-07
12.12 0.017713328283 0.00747820317902 2.33003106262e-07
12.16 0.0175721869747 0.00731463571943 2.06464665545e-07
12.2 0.0174321702924 0.00715441364821 1.82901378345e-07
12.24 0.0172932692749 0.00699747546221 1.61985512093e-07
12.28 0.0171554750326 0.00684376057796 1.43424733869e-07
12.32 0.0170187787465 0.00669320932481 1.26958370859e-07
12.36 0.0168831716681 0.00654576293767 1.12354055882e-07
12.4 0.0167486451184 0.00640136354981 9.94047194936e-08
12.44 0.0166151904878 0.00625995418522 8.79258939197e-08
12.48 0.016482799235 0.00612147875102 7.77532973866e-08
12.52 0.0163514628869 0.00598588202957 6.87406705202e-08
12.56 0.0162211730381 0.00585310967049 6.07578392257e-08
12.6 0.0160919213499 0.00572310818256 5.36889809858e-08
12.64 0.0159636995502 0.00559582492544 4.74310737821e-08
12.68 0.0158364994326 0.00547120810134 4.18925089068e-08
12.72 0.0157103128565 0.0053492067465 3.6991850794e-08
12.76 0.0155851317457 0.00522977072272 3.26567286817e-08
12.8 0.0154609480887 0.00511285070859 2.88228464421e-08
12.84 0.0153377539376 0.00499839819088 2.54330982884e-08
12.88 0.015215541408 0.00488636545564 2.24367793116e-08
12.92 0.0150943026783 0.00477670557941 1.97888809186e-08
12.96 0.0149740299891 0.00466937242027 1.74494622554e-08
13 0.0148547156429 0.0045643206089 1.53830896092e-08
13.04 0.0147363520036 0.00446150553956 1.35583366038e-08
13.08 0.0146189314958 0.00436088336105 1.19473387446e-08
13.12 0.0145024466046 0.00426241096769 1.05253965316e-08
13.16 0.014386889875 0.00416604599019 9.27062196038e-09
13.2 0.0142722539113 0.00407174678659 8.16362377036e-09
13.24 0.0141585313766 0.00397947243314 7.18722728106e-09
13.28 0.0140457149929 0.00388918271522 6.3262250955e-09
13.32 0.0139337975396 0.0038008381182 5.56715533917e-09
13.36 0.0138227718542 0.00371439981836 4.89810445469e-09
13.4 0.0137126308309 0.00362982967384 4.30853188713e-09
13.44 0.0136033674206 0.00354709021551 3.7891142777e-09
13.48 0.0134949746305 0.00346614463801 3.3316070371e-09
13.52 0.0133874455234 0.00338695679064 2.9287213968e-09
13.56 0.0132807732173 0.00330949116847 2.5740152402e-09
13.6 0.0131749508853 0.0032337129033 2.26179619801e-09
13.64 0.0130699717546 0.00315958775479 1.98703565522e-09
13.68 0.0129658291066 0.00308708210159 1.74529246329e-09
13.72 0.0128625162761 0.00301616293248 1.53264528176e-09
13.76 0.012760026651 0.0029467978376 1.34563259025e-09
13.8 0.0126583536719 0.00287895499973 1.18119951655e-09
13.84 0.0125574908318 0.00281260318559 1.03665071945e-09
13.88 0.0124574316755 0.00274771173721 9.09608648627e-10
13.92 0.012358169799 0.00268425056338 7.97976578221e-10
13.96 0.0122596988495 0.00262219013115 6.99905877081e-10
14 0.012162012525 0.00256150145736 6.13767038137e-10
14.04 0.0120651045735 0.00250215610026 5.38124042047e-10
14.08 0.0119689687927 0.00244412615124 4.71711677501e-10
14.12 0.0118735990301 0.00238738422653 4.13415482526e-10
14.16 0.0117789891818 0.00233190345908 3.62254008623e-10
14.2 0.0116851331929 0.0022776574904 3.17363142843e-10
14.24 0.0115920250565 0.00222462046257 2.77982252655e-10
14.28 0.0114996588136 0.0021727670103 2.43441944839e-10
14.32 0.0114080285528 0.002122072253 2.13153253171e-10
14.36 0.0113171284098 0.00207251178703 1.86598090558e-10
14.4 0.0112269525668 0.00202406167792 1.63320819899e-10
14.44 0.0111374952527 0.00197669845281 1.42920814456e-10
14.48 0.011048750742 0.00193039909279 1.25045893216e-10
14.52 0.0109607133551 0.00188514102549 1.09386529773e-10
14.56 0.0108733774577 0.00184090211765 9.56707448344e-11
14.6 0.0107867374601 0.00179766066778 8.36596027663e-11
14.64 0.0107007878174 0.00175539539896 7.3143241691e-11
14.68 0.0106155230287 0.00171408545168 6.3937374774e-11
14.72 0.0105309376372 0.00167371037674 5.58802075106e-11
14.76 0.0104470262292 0.00163425012829 4.88297221938e-11
14.8 0.0103637834345 0.00159568505693 4.26612863936e-11
14.84 0.0102812039255 0.00155799590288 3.72655472807e-11
14.88 0.0101992824171 0.00152116378924 3.25465780595e-11
14.92 0.0101180136662 0.00148517021536 2.84202467041e-11
14.96 0.0100373924716 0.00144999705027 2.4812780664e-11
15 0.00995741367357 0.00141562652621 2.16595042851e-11
15.04 0.00987807215342 0.00138204123219 1.89037284139e-11
15.08 0.00979936283326 0.00134922410776 1.64957740609e-11
15.12 0.00972128067566 0.00131715843671 1.43921141298e-11
15.16 0.00964382068334 0.00128582784098 1.25546191022e-11
15.2 0.00956697789884 0.00125521627455 1.09498942329e-11
15.24 0.00949074740419 0.00122530801753 9.54869728149e-12
15.28 0.00941512432061 0.00119608767023 8.32542710446e-12
15.32 0.00934010380821 0.00116754014737 7.25767458308e-12
15.36 0.00926568106563 0.00113965067232 6.32582837196e-12
